pl_name,pl_orbper,pl_rade,pl_masse,st_mass,st_rad,st_teff
KOI-1831 d,34.2069395,1.13,,0.9,0.8,5355.0
Kepler-1666 b,25.84781795,,,1.23,1.15,6293.0
Kepler-1739 b,7.34372823,1.9,,0.84,0.77,5734.0
Kepler-281 c,36.337373,5.31,,,0.9,5723.0
KOI-2513.01,19.00537199,103.23,,1.03,1.04,6347.0
Kepler-1835 b,11.96407399,3.21,,0.92,0.96,5903.0
Kepler-1833 b,6.89208596,1.32,,1.15,1.37,6047.0
Kepler-1911 b,5.99077497,1.45,,1.11,1.68,6237.0
Kepler-1766 b,105.0149994,2.279,,0.92,1.04,5868.0
Kepler-1530 b,2.5903958,2.55,,1.01,1.3,5678.0
Kepler-783 b,4.29264638,0.93,,0.84,1.11,5775.0
Kepler-1812 b,7.16520428,,,1.24,1.15,6317.0
Kepler-1889 b,37.3037619,2.59,,0.85,0.82,5641.0
Kepler-1821 b,16.4588,2.0,,0.98,0.87,5806.0
Kepler-534 b,15.959946,2.36,,1.09,1.04,5935.0
Kepler-1821 b,16.45819349,1.98,,0.97,0.88,5815.0
Kepler-1897 b,24.2204586,2.4,,0.86,0.78,5172.0
Kepler-1812 b,7.165187,2.8,,1.06,0.98,6093.0
Kepler-1600 c,7.2981458,1.75,,0.93,0.83,5303.0
Kepler-511 b,296.6371,5.04,,0.94,0.95,5812.0
Kepler-1711 b,21.06046,1.84,,1.0,1.06,5758.0
Kepler-529 c,12.8345022,2.0,,1.07,1.14,6087.0
Kepler-1900 b,2.98616791,1.19,,1.1,1.04,6173.0
Kepler-1791 b,7.72084349,1.96,,0.97,1.17,6218.0
Kepler-1884 b,8.98825111,1.17,,0.99,0.91,5984.0
Kepler-716 c,3.96999,1.393,,0.83,0.74,5012.0
Kepler-1863 b,44.9977604,1.59,,1.1,0.98,5871.0
Kepler-1698 b,1.21069363,0.99,,0.76,0.76,5014.0
Kepler-1948 b,15.57129955,1.033,,0.58,0.56,3872.0
TOI-763 c,12.2737,2.63,9.32,0.92,0.9,5450.0
CoRoT-9 b,95.2738,11.77,266.97,0.99,0.94,5625.0
TOI-2136 b,7.8519082,2.171,,,0.34,3384.0
KMT-2021-BLG-1253L b,,,19.05,0.24,,
KMT-2021-BLG-1253L b,,,22.05,0.29,,
KMT-2021-BLG-0748L b,,,130.30965,0.36,,
KMT-2019-BLG-2974L b,,,88.99195,0.47,,
Kepler-1809 b,3.7572947,1.23,,0.81,0.72,4901.0
Kepler-1782 b,5.75624524,2.24,,0.79,0.73,4931.0
Kepler-716 c,3.970006,1.31,,0.79,0.74,5166.0
Kepler-1918 b,47.0564621,2.82,,0.97,0.92,5889.0
Kepler-1887 b,19.94774345,,,0.95,0.9,5443.0
Kepler-1321 d,5.72084599,,,0.63,0.76,4034.0
Kepler-616 c,90.4117992,,,0.98,0.95,5556.24
Kepler-1898 b,4.76559135,0.93,,0.84,1.12,5702.0
Kepler-1702 b,18.5010898,,,0.85,0.73,5093.0
Kepler-1771 b,88.6442364,2.5,,0.97,0.87,5861.0
Kepler-1865 b,2.524074,1.5,,0.82,0.86,5392.0
Kepler-1833 b,6.89208596,1.32,,1.15,1.37,6047.0
Kepler-1681 b,69.8941,2.1,,0.9,0.84,5584.0
Kepler-1738 b,7.67463016,2.825,,1.08,1.0,6063.0
Kepler-1799 b,11.92957,2.6,,0.98,0.87,5796.0
Kepler-462 b,84.6879808,5.01,,1.97,2.64,7717.0
Kepler-1311 b,11.17230161,,,1.02,1.75,5719.0
Kepler-1090 c,42.4269647,,,0.89,1.03,5217.0
Kepler-1530 d,9.2077989,4.9,,1.01,1.3,5678.0
Kepler-1875 b,34.45859909,3.227,,0.95,0.86,6161.0
Kepler-1883 b,103.427188,3.23,,1.09,1.02,6194.0
Kepler-1786 b,78.5459,2.6,,1.04,0.94,6005.0
Kepler-1928 b,19.57783,1.992,,1.01,0.92,5720.0
Kepler-457 d,10.6906004,2.985,,1.15,1.24,6474.0
Kepler-1849 b,57.29290009,2.387,,0.71,0.73,4806.0
Kepler-1827 b,3.70062174,1.48,,0.84,1.67,5387.0
Kepler-1769 b,89.1935737,,,1.18,1.12,6173.0
Kepler-1812 b,7.16521372,2.49,,1.16,1.1,6174.0
Kepler-1322 b,0.9628682,1.5,,0.96,0.85,5720.0
Kepler-1867 b,9.88736112,0.67,,0.89,0.82,5684.0
Kepler-526 b,5.45849832,1.99,,1.15,1.14,5894.0
Kepler-644 b,3.1739171,3.15,,1.49,1.81,6747.0
Kepler-685 b,1.62552226,,,0.96,1.04,5483.74
Kepler-1517 b,5.54608367,20.24,,2.05,4.04,7358.0
Kepler-1517 b,5.54608367,20.24,,2.05,4.04,7358.0
Kepler-718 b,2.0523499,13.38,,1.14,1.05,6015.0
Kepler-718 b,2.0523499,13.38,,1.14,1.05,6015.0
Kepler-723 b,4.08227507,12.19,,0.92,0.89,5539.0
Kepler-425 b,3.79701826,10.07,,0.88,0.85,5167.0
Kepler-425 b,3.79701834,9.94,,0.93,0.82,5262.0
Kepler-731 b,3.85558969,13.965,,,1.05,5741.0
Kepler-74 b,7.34071497,,,1.05,1.44,5828.81
Kepler-424 b,3.31186415,9.06,,1.01,0.94,5461.0
Kepler-762 b,3.77055251,,,1.07,1.38,5897.0
Kepler-43 b,3.0240922,12.55,962.98,1.23,1.34,6019.0
Kepler-412 b,1.72086132,12.53,,1.18,1.12,6195.0
KMT-2021-BLG-0712L b,,,25.76,0.14,,
Kepler-426 b,3.21751843,10.553,,,0.91,5549.0
Kepler-485 b,3.24325988,12.91,,1.03,1.01,5823.0
WASP-148 c,34.524,,124.58874,0.95,0.91,5555.0
Kepler-685 b,1.62552217,,,0.96,1.04,5483.74
Kepler-45 b,2.45523883,12.993,,,0.61,3792.0
Kepler-74 b,7.34071495,,,1.05,1.44,5828.81
Kepler-491 b,4.22538451,9.16,,1.07,1.05,5649.0
Kepler-491 b,,8.523,,,1.0,5522.0
Kepler-8 b,3.52249865,,,1.18,1.58,6179.0
Kepler-471 b,5.01419911,13.491,,,1.7,6669.0
Kepler-412 b,1.7208612,14.852,294.62841,1.17,1.29,5750.0
Kepler-77 b,,10.466,,,1.0,5596.0
Kepler-723 b,4.08227507,10.85,,0.87,0.8,5649.0
Kepler-548 b,4.45419434,12.21,,0.81,0.92,5359.0
Kepler-423 b,2.68432848,13.45,228.83,1.07,0.99,5790.0
TOI-2081 b,10.50534,2.04,,0.54,0.53,3800.0
HD 178911 B b,71.479,,,1.03,1.03,5576.1
30 Ari B b,335.1,,,1.16,1.13,6300.0
HD 178911 B b,71.484,,,1.24,1.08,5588.0
Kepler-1090 c,42.42685448,,,0.89,1.03,5217.0
Kepler-196 b,20.73991798,1.89,,0.85,0.79,5163.0
Kepler-1090 c,42.4267342,3.08,,0.8,0.91,5403.0
Kepler-511 b,296.63730555,,,1.12,1.63,6023.54
Kepler-1693 b,12.09997831,1.12,,0.95,0.86,5693.0
Kepler-1719 b,6.14955299,3.47,,1.08,1.77,5687.0
Kepler-1716 b,35.58349688,,,0.78,0.7,4813.46
Kepler-1312 c,1.1161319,0.93,,0.95,0.84,5706.0
Kepler-1906 b,7.36272058,1.87,,0.99,0.89,5868.0
Kepler-1742 b,49.47779,2.0,,0.97,0.86,5772.0
Kepler-616 b,9.99761851,2.48,,1.06,0.98,6004.0
Kepler-1514 c,10.51421162,1.25,,1.21,1.17,6259.0
Kepler-1838 b,12.14692791,1.14,,1.08,1.26,6006.0
Kepler-1514 c,10.51420148,1.92,,1.09,2.27,6382.0
Kepler-1753 b,16.00460392,,,0.83,0.7,5007.0
Kepler-381 c,13.391635,1.12,,,1.57,6152.0
Kepler-462 b,84.68895,4.7,,1.86,2.52,7713.0
CoRoT-13 b,4.03515,,,1.09,1.01,5945.0
WD 0806-661 b,,,2542.62726,0.62,,
WD 0806-661 b,,,2383.6,,,
HD 95086 b,,,1589.0,1.6,,
mu2 Sco b,,,4576.72906,9.1,5.6,21700.0
MASCARA-1 b,2.1487872,17.479,,,2.02,7893.0
GJ 338 B b,24.422,,,0.64,0.58,4014.0
MASCARA-1 b,2.14877381,17.901,,1.9,2.08,7490.0
gam1 Leo b,428.5,,,1.23,31.88,4330.0
OGLE-2018-BLG-0516L b,,,20.1,0.47,,
OGLE-TR-56 b,1.2119189,13.967,375.0394,1.1,1.12,5970.0
OGLE-2019-BLG-1492L b,,,37.1,0.68,,
HD 152843 b,11.6207544,3.208,,,1.4,6329.0
HD 152843 b,11.6264,3.41,11.56,1.15,1.43,6310.0
WASP-189 b,2.724033,18.147,632.47853,2.03,2.36,8000.0
Kepler-1946 b,3.03520869,3163.54,,0.89,0.87,5505.0
Kepler-1799 b,11.92976844,2.67,,1.02,0.92,5831.0
Kepler-1941 b,31.33452785,,,1.23,1.39,6283.0
Kepler-783 c,7.053943,3.2,,0.94,1.17,5810.0
Kepler-324 e,13.97946091,,,0.89,0.86,5214.0
Kepler-1895 b,6.0703203,1.41,,0.85,0.78,5076.0
Kepler-529 b,1.98035766,1.5,,0.98,0.89,6248.0
Kepler-462 b,84.6879808,5.01,,1.97,2.64,7717.0
Kepler-1742 b,49.47819901,2.178,,0.94,0.85,5776.0
Kepler-487 b,15.35876766,,,0.95,0.92,5462.0
HD 178911 B b,71.484,,,1.01,,5668.0
30 Ari B b,335.10001,,,1.93,1.41,6331.0
30 Ari B b,345.4,,,1.16,1.13,
HD 178911 B b,71.511,,,1.06,,5668.0
CoRoT-5 b,4.03790124,18.383,,,1.27,6100.0
K2-2016-BLG-0005L b,4700.0,,349.61125,0.58,,
K2-2016-BLG-0005L b,4700.0,,368.68095,0.57,,
CoRoT-5 b,4.0379156,14.079,145.88397,0.99,1.11,
CoRoT-6 b,8.886593,13.07,937.5985,1.05,1.02,6090.0
HD 216435 b,1391.0,,,1.25,,5943.0
Kepler-1839 b,5.05661302,,,1.0,1.31,5633.0
Kepler-616 b,9.997624,2.35,,1.02,0.92,5969.0
TOI-2193 A b,2.1225735,19.84,298.7587,1.08,1.25,5966.0
TOI-2193 A b,2.12236725,12.981,,,1.2,6079.0
HD 16417 b,17.24,,,1.2,,
HIP 54597 b,3250.0,,,0.69,0.66,4799.0
TOI-1260 b,3.12748,2.34,8.6,0.66,0.65,4227.0
TOI-1260 c,7.49325,2.82,11.8,0.66,0.65,4227.0
TOI-1260 b,3.12746345,2.58,,,0.69,4225.0
TOI-1260 c,7.49316133,2.773,,,0.69,4225.0
TOI-1260 d,49.82516596,3.832,,,0.69,4225.0
TOI-1260 b,3.127463,2.41,8.56,0.68,0.67,4227.0
TOI-1260 c,7.493134,2.76,13.2,0.68,0.67,4227.0
TOI-1260 d,16.608164,3.12,11.84,0.68,0.67,4227.0
KMT-2019-BLG-0414L b,,,1452.47582,0.74,,
KMT-2019-BLG-0414L b,,,1353.94901,0.74,,
KMT-2019-BLG-0414L b,,,619.76539,0.74,,
KMT-2019-BLG-0414L b,,,680.15279,0.74,,
GPX-1 b,1.744579,16.477,6261.21962,1.68,1.56,7000.0
nu Oct A b,414.8,,670.61794,1.61,5.81,4860.0
WASP-184 b,5.1817,14.908,181.1631,1.23,1.65,6000.0
MWC 758 c,,,,1.5,,
Kepler-4 b,,4.078,,,1.53,5827.0
OGLE-TR-56 b,1.2119,14.572,286.047,1.04,1.1,5900.0
Kepler-855 b,7.88663595,,,0.99,1.56,5597.0
Kepler-720 b,4.70832604,,,0.96,1.15,5490.0
Kepler-720 b,4.708327,8.5,,0.84,0.97,5475.0
Kepler-858 b,76.13622222,4.78,,0.9,0.89,5591.0
Kepler-858 b,76.13602028,5.41,,0.87,1.01,5565.0
Kepler-855 b,7.886632,9.4,,1.08,1.21,5604.0
Kepler-720 b,4.70803528,11.54,,,1.15,5490.0
Kepler-720 b,4.70832645,,,0.96,1.15,5490.0
Kepler-720 b,4.70832654,11.1,,0.94,1.21,5560.0
TOI-2669 b,6.2034,19.728,193.87533,1.19,4.1,4800.0
TOI-1696 b,2.500311,3.09,48.8,0.26,0.28,3185.0
HATS-16 b,2.686502,14.572,1039.3041,0.97,1.24,5738.0
HATS-47 b,3.9228038,12.52,117.27927,0.67,0.66,4512.0
HATS-71 b,3.7955202,11.478,117.5971,0.49,0.48,3405.0
HD 11977 b,621.6,,,2.31,,
HATS-16 b,2.68650415,13.747,,,1.18,5738.0
HATS-32 b,2.8126545,,,,,
WASP-171 b,3.8186258,,,,,
WASP-171 b,3.8186276,11.375,,,2.03,6090.0
HD 216435 b,1311.0,,,1.3,,5999.0
OGLE-TR-56 b,1.21191096,15.446,441.765,1.23,1.36,
WASP-171 b,3.8186244,10.985,344.52772,1.17,1.64,5965.0
WASP-182 b,3.37711137,8.611,,,1.28,5614.86
K2-223 c,4.56327,1.57,,1.06,0.99,5835.0
HATS-47 b,3.92280161,13.337,,,0.7,4444.0
HATS-47 b,3.9228021,,,,,
WASP-176 b,3.89938314,15.264,,,1.86,6152.0
LP 890-9 b,2.7299025,1.32,13.2,0.12,0.16,2850.0
Kepler-1855 b,0.72733043,0.59,,0.28,0.29,3339.0
Kepler-1720 b,12.70637048,3.17,,0.94,0.85,5582.0
Kepler-858 b,76.13602028,5.41,,0.87,1.01,5565.0
TOI-2669 b,6.203496,9.937,,,3.98,4859.0
TOI-1468 c,15.532482,2.064,6.64,0.34,0.34,3496.0
TOI-2567 b,5.983944,10.929,63.88351,1.13,1.69,5611.0
WASP-139 b,5.9242672,,,0.92,0.8,5310.0
Kepler-534 c,7.378776,1.22,,1.09,1.04,5935.0
Kepler-1950 b,10.77690029,1.527,,0.76,0.85,5455.0
Kepler-585 b,2.75235975,2.83,,0.96,0.93,5593.0
Kepler-179 b,2.73590337,1.8,,0.91,0.87,5475.0
Kepler-122 c,12.46599556,5.62,,1.08,1.15,6076.0
Kepler-143 c,27.08247084,2.78,,1.06,1.22,5913.0
Kepler-187 c,10.64022272,2.88,,1.11,1.2,6114.0
Kepler-232 b,4.43124259,3.1,,0.97,0.95,5654.0
WASP-47 b,4.159221,12.3,,1.0,1.1,5950.0
K2-275 b,3.28046294,,,0.77,0.74,4783.55
K2-3 b,10.05403,2.14,,0.6,0.56,3896.0
Kepler-496 b,8.30864937,2.32,,0.86,0.82,5293.0
Kepler-4 b,3.21366863,4.23,,1.11,1.55,5871.0
TOI-1468 b,1.8805136,1.28,3.21,0.34,0.34,3496.0
TOI-2236 b,3.5315902,14.37,502.16888,1.34,1.57,6248.0
Kepler-1085 c,56.77656132,,,1.05,1.08,5816.0
Kepler-1884 b,8.98825111,1.17,,0.99,0.91,5984.0
TOI-262 b,11.14527844,2.067,,,0.85,5302.58
TOI-262 b,11.14529,2.07,,0.91,0.85,5310.0
Kepler-1748 b,5.82348911,,,0.93,0.77,5376.0
K2-17 b,17.969079,1.948,,0.62,0.6,4382.0
Kepler-522 b,38.5833679,,,1.27,1.74,6373.72
K2-80 d,28.8819,2.39,,,0.79,
Kepler-858 b,76.13616356,,,0.98,0.94,5576.31
TOI-1431 b,2.65023239,16.737,,,1.94,7400.0
TOI-1749 c,4.48913668,1.998,,,0.56,3959.0
Kepler-858 b,,5.042,,,0.94,5511.0
Kepler-858 b,76.13655826,,,0.98,0.94,5576.31
Kepler-855 b,7.8866311,9.23,,0.95,1.14,5847.0
Kepler-720 b,4.70832654,11.1,,0.94,1.21,5560.0
Kepler-720 b,4.70833748,,,0.96,1.15,5490.0
TOI-1820 b,4.860673,11.427,,,1.4,5778.2
K2-73 b,7.4956613,4.74,,,1.77,6634.0
K2-3 b,10.054544,2.08,,,0.56,
TOI-540 b,1.2391491,0.903,,0.16,0.19,3216.0
K2-240 c,20.523,1.8,,0.58,0.54,3810.0
CoRoT-6 b,8.886593,13.283,940.7768,1.05,1.04,6090.0
CoRoT-6 b,8.886593,13.068,940.74,1.05,1.02,6090.0
K2-58 c,2.537071,1.625,,0.86,0.8,5134.0
K2-168 b,15.853989,2.144,,0.91,0.87,5554.0
TOI-2236 b,3.5315897,14.212,,,1.62,6209.0
Kepler-855 b,7.8866311,9.23,,0.95,1.14,5847.0
Kepler-4 b,3.21366863,4.14,,1.09,1.53,5781.0
Kepler-720 b,4.70832654,11.1,,0.94,1.21,5560.0
TOI-2567 b,5.9839451,10.836,,,1.72,5609.0
Kepler-6 b,3.23469928,,,0.99,1.31,5613.0
Kepler-858 b,76.13602028,4.87,,0.96,0.91,5653.0
K2-232 b,11.168459,11.859,123.00021,1.04,1.23,5888.0
CoRoT-9 b,95.272656,11.949,268.88418,0.96,0.96,5625.0
GPX-1 b,1.74428305,15.39,,,1.6,8039.0
Kepler-647 b,16.2254975,,,1.07,1.55,5906.74
HATS-28 b,3.1810697,,,,,
HATS-28 b,3.1810781,13.384,213.58176,0.93,0.92,5498.0
HATS-32 b,2.8126548,14.0,292.4036,1.1,1.1,5700.0
HATS-32 b,2.8126535,,,1.1,1.1,5700.0
K2-291 b,2.225,1.582,6.4,0.93,0.9,5520.0
K2-104 b,1.974991,,,,0.48,3820.0
K2-19 c,11.8993,4.1,10.8,0.88,0.82,5322.0
K2-155 c,13.853487,,,0.54,0.53,3919.0
HATS-59 b,5.416081,12.621,256.17098,1.04,1.04,5670.0
HATS-59 b,5.4161077,,,,,
Kepler-1963 b,1.96227924,0.83,,0.92,0.98,5726.0
Kepler-1807 b,10.86084,3.08,,1.28,1.62,6474.0
Kepler-1704 b,988.8811177,,,1.02,1.73,5725.02
HD 99109 b,439.3,,,0.93,,5272.0
Kepler-522 b,38.58437961,,,1.27,1.74,6373.72
Kepler-1728 b,4.78299999,2.955,,0.89,0.81,5170.0
TOI-1278 b,14.47510623,8.698,,,0.55,3841.0
Kepler-1864 b,3.88151002,0.754,,1.03,0.98,5854.0
Kepler-487 d,2.41840544,2.79,,0.9,0.87,5700.0
Kepler-1716 b,35.58349688,2.03,,0.75,0.68,4894.0
Kepler-1717 b,30.6529373,2.38,,1.32,1.38,6823.0
Kepler-1939 b,2.79064934,0.92,,0.64,0.62,4358.0
Kepler-1677 b,22.06402,2.67,,1.17,1.09,6232.0
Kepler-1905 b,3.42391461,1.14,,1.0,0.91,5955.0
Kepler-1877 b,2.37752807,0.48,,0.9,0.82,5637.0
Kepler-1792 b,4.19577385,,,0.82,0.75,4985.0
Kepler-1920 b,30.2541186,2.8,,1.24,1.16,6277.0
Kepler-394 c,12.130686,1.66,,,1.13,6402.0
Kepler-1738 b,7.6746614,,,1.02,1.02,5703.0
Kepler-1741 b,2.75759006,1.273,,0.45,0.42,3683.0
Kepler-1679 b,9.75374033,,,0.96,0.87,5501.0
Kepler-1878 b,4.445911,1.7,,1.02,0.76,5673.0
Kepler-529 c,12.83443354,,,,,
Kepler-1600 b,386.370548,3.13,,0.86,0.82,5214.0
TOI-2046 b,1.49714467,16.253,,,1.24,6081.0
OGLE-TR-56 b,1.21191126,,,,,
OGLE-TR-56 b,1.21191096,19.436,448.1403,1.34,1.74,6119.0
HAT-P-58 b,4.01357005,14.954,,,1.53,5679.0
TOI-2025 b,8.87205415,11.985,,,1.48,6042.0
CoRoT-5 b,4.0378962,13.249,149.3801,1.02,1.05,6100.0
HIP 21152 b,23000.0,,8835.62971,1.3,,
HIP 21152 b,22000.0,,7627.88177,1.4,,6655.0
HD 206893 b,10600.0,,8263.53858,1.31,,6500.0
GJ 832 b,3416.0,,,0.45,0.48,3657.0
Kepler-1696 b,65.941326,2.35,,1.05,0.96,5982.0
Kepler-1753 b,16.00454026,2.27,,0.85,0.78,5178.0
Kepler-1675 b,63.0380366,,,1.06,1.13,5853.19
Kepler-381 c,13.39152873,1.41,,1.27,2.06,6550.0
Kepler-1600 b,386.370512,2.96,,0.82,0.83,5119.0
Kepler-394 b,8.00502697,,,1.1,0.99,5977.0
Kepler-1884 b,8.98825111,1.17,,0.99,0.91,5984.0
Kepler-1792 b,4.195803,3.5,,0.99,1.12,5029.0
Kepler-1514 b,,12.185,,,1.27,6194.0
Kepler-501 b,,4.241,,,1.12,5796.0
Kepler-1795 b,13.36020599,1.91,,0.76,0.71,4491.0
HD 106252 b,1600.0,,,1.03,1.05,5896.0
Kepler-1835 b,11.96721766,2.73,,0.92,0.96,5903.0
Kepler-149 b,29.1989838,4.14,,0.92,0.9,5377.0
HD 17092 b,,,,1.55,,
HD 62509 b,,,,2.0,,
HD 202206 c,,,,1.15,,
Kepler-419 b,69.7546,10.8,794.5,1.39,1.74,6430.0
Kepler-419 c,675.47,,2320.1,1.39,1.74,6430.0
CoRoT-36 b,5.616531,15.805,216.12332,1.32,1.52,6730.0
K2-16 b,7.62117,1.87,,,0.54,
WD 1856+534 b,1.4079405,10.4,4386.054,0.52,0.01,4710.0
TOI-3362 b,18.09547,12.801,1598.35906,1.45,1.83,6532.0
TOI-2109 b,0.67249,15.729,,,1.7,6647.0
TOI-1749 b,2.38839,1.39,57.0,0.58,0.55,3985.0
GJ 849 b,1882.0,,,0.65,0.53,3241.0
HD 154391 b,5163.0,,2892.2385,2.07,8.56,4909.0
GJ 649 b,598.3,,,0.54,,3700.0
GJ 849 b,1925.31,,,0.45,0.45,3467.0
HD 95338 b,55.087,4.366,,,0.87,5175.0
HD 95338 b,55.087,3.89,42.44,0.83,0.87,5212.0
CoRoT-3 b,,,,1.41,1.44,6558.0
CoRoT-3 b,4.2567994,11.624,6979.5468,1.4,1.57,6740.0
Kepler-725 b,39.64317811,10.63,,0.88,0.84,5363.0
Kepler-952 b,130.3546919,7.65,,1.0,0.99,5730.0
Kepler-603 d,6.2171292,1.32,,1.01,1.01,5808.0
Kepler-30 c,60.32501598,,,0.83,1.01,5006.6
Kepler-30 c,60.32494216,,,0.83,1.01,5006.6
Kepler-1515 b,214.3114164,9.55,,1.3,1.41,6511.0
Kepler-725 b,39.64315092,,,0.91,0.83,5293.0
Kepler-30 c,60.32488611,12.88,,0.99,0.87,5485.0
Kepler-30 d,143.21515,9.37,,0.97,0.94,5461.0
Kepler-30 c,60.326,11.23,1603.8,0.99,0.87,
Kepler-30 b,,1.841,,,0.84,5464.0
Kepler-30 b,29.33434,3.9,11.3,0.99,0.95,5498.0
Kepler-30 d,143.2063518,9.29,,0.95,0.86,5452.0
Kepler-30 c,60.332,13.1,527.7,1.0,,
Kepler-30 c,60.322921,14.0,,0.97,0.94,5461.0
Kepler-30 b,29.1598615,1.91,,0.99,0.87,5485.0
Kepler-30 d,143.2063047,8.9,,0.99,0.87,5485.0
Kepler-30 b,29.1598615,1.91,,0.99,0.87,5485.0
Kepler-30 b,29.1598615,,,0.83,1.01,5006.6
HD 73267 b,1245.36,,,0.9,0.91,5387.0
HD 150706 b,5894.0,,,1.17,0.96,5961.0
HD 204313 c,34.905,,,1.02,,5776.0
HD 73267 b,1260.0,,,0.89,1.04,5317.0
K2-394 b,5.09582,,,,0.58,4490.0
K2-172 c,29.6245,3.02,,,0.82,
HD 204313 b,2041.11539,,1466.7781,1.03,,
Kepler-6 b,3.234702,13.103,201.18639,1.11,1.26,5647.0
Kepler-403 b,7.031417,1.0,,1.14,1.06,6303.0
Kepler-952 b,130.35464842,,,1.0,1.17,5637.0
Kepler-1515 b,214.3115487,,,1.31,1.54,6447.86
CoRoT-3 b,4.2568,11.32,6883.91,1.37,1.56,6740.0
Kepler-603 b,,3.531,,,1.6,5854.0
Kepler-603 c,,10.319,,,1.6,5854.0
Kepler-30 d,143.34394,8.8,23.1,0.99,0.95,5498.0
Kepler-30 b,29.1647,1.37,,0.97,0.94,5461.0
Kepler-603 c,127.90980919,,,1.05,1.54,5825.0
Kepler-952 b,130.35496133,,,1.0,1.17,5637.0
HD 190984 b,9970.0,,1137.8257,0.91,,5988.0
Kepler-30 d,143.213,10.6,5403.11,0.99,0.95,5498.0
HD 76920 b,,,,1.22,8.68,4664.0
OGLE-2017-BLG-1237L b,,,1207.74795,0.46,,
CoRoT-3 b,4.2567994,11.321,6814.2752,1.37,1.56,6740.0
Kepler-1515 b,214.31177189,,,1.31,1.54,6447.86
Kepler-603 d,6.21720925,,,1.05,1.54,5825.0
CoRoT-5 b,4.0378962,15.558,148.42,1.0,1.19,6100.0
TOI-2046 b,1.4971842,16.141,731.00534,1.13,1.21,6250.0
KMT-2021-BLG-1253L b,,,17.74,0.21,,
KMT-2021-BLG-1391L b,,,4.67,0.39,,
OGLE-2018-BLG-0516L b,,,20.1,0.47,,
HATS-59 c,1422.0,,,1.04,1.04,5670.0
Kepler-419 b,69.72646639,,,1.29,1.87,6418.0
Kepler-419 b,69.73297,9.3,,1.31,1.39,6293.0
HD 160691 b,643.25,,,1.08,,
Kepler-210 c,7.972513,3.62,,,0.65,4559.0
HD 11977 b,,,,1.8,,
K2-29 b,3.25883406,,,0.94,0.86,5358.0
K2-21 c,15.50116,1.53,,0.52,0.46,4006.0
GJ 328 b,4100.0,,,0.69,,3900.0
HD 112570 b,2615.0,,1086.97315,1.15,9.85,4750.0
GJ 649 b,604.8,,,0.53,0.5,3807.22
GJ 849 b,1924.0,,,0.46,0.46,3407.0
GJ 849 c,7068.0,,,0.49,,
GJ 849 c,5990.0,,,0.45,0.45,3467.0
GJ 328 c,241.8,,,0.65,0.63,3897.0
Kepler-1513 b,160.88451966,,,0.95,0.92,5442.9
HD 1397 b,11.53508,,,1.32,2.34,5521.0
HD 160691 c,4205.8,,,1.08,,
HD 160691 d,9.6386,,,1.08,,
HD 160691 e,310.55,,,1.08,,
HD 160691 b,743.0,,,1.08,,
HD 160691 b,637.0,,,1.08,,
HD 160691 b,645.5,,,1.08,,5807.0
HD 160691 c,2986.0,,,1.08,,5807.0
HD 160691 d,9.55,,,1.1,,5813.0
HD 160691 b,646.485,,,1.03,1.38,5771.56
HD 160691 c,4472.967,,,1.03,1.38,5771.56
HD 160691 d,9.6369,,,1.03,1.38,5771.56
HD 160691 e,307.475,,,1.03,1.38,5771.56
Kepler-952 b,130.35148,6.7,,0.98,0.95,5890.0
Kepler-603 b,21.05744,2.7,,1.02,0.92,5956.0
Kepler-603 c,127.90073,6.8,,1.02,0.92,5956.0
Kepler-603 d,6.217168,1.41,,1.02,0.92,5956.0
Kepler-1976 b,4.95931945,11.88,,1.1,1.02,6117.0
Kepler-30 d,143.2063518,9.36,,0.99,0.87,5485.0
Kepler-30 d,143.20776601,,,0.83,1.01,5006.6
Kepler-30 c,,11.747,,,0.84,5464.0
Kepler-952 b,130.3546919,7.91,,1.09,1.01,5970.0
Kepler-1976 b,4.95931945,11.88,,1.1,1.02,6117.0
Kepler-725 b,39.64317811,10.52,,0.91,0.83,5552.0
Kepler-1515 b,214.3114164,9.33,,1.2,1.38,6517.0
Kepler-1976 b,4.95931924,12.21,,0.98,1.08,5712.0
Kepler-725 b,39.6431552,10.98,,0.84,0.9,5231.0
Kepler-603 c,127.9075774,5.8,,0.98,0.91,5960.0
Kepler-603 d,6.2171292,1.22,,0.98,0.91,5960.0
Kepler-603 b,21.05358596,2.35,,0.98,0.91,5960.0
Kepler-603 c,127.9075774,5.8,,0.98,0.91,5960.0
CoRoT-12 b,2.828041,,,1.08,1.12,5675.0
Kepler-323 c,3.554,1.9,79.7,1.12,1.38,
Proxima Cen b,11.1868,,,0.12,0.14,2900.0
Kepler-1876 b,6.99205021,,,1.07,1.58,5886.33
Kepler-10 b,0.8374912,1.46,4.6,0.91,1.06,5643.0
TOI-942 c,10.15643,5.79,794.575,0.79,1.02,4928.0
Kepler-134 c,10.105745,1.63,,1.01,1.03,5936.0
Kepler-1876 b,6.99205021,1.06,,1.08,1.47,6057.0
Kepler-603 c,127.905412,8.03,,1.02,1.25,5751.0
Kepler-603 d,6.21716039,1.81,,1.02,1.25,5751.0
Kepler-725 b,39.64317811,10.52,,0.91,0.83,5552.0
Kepler-952 b,130.3546919,7.91,,1.09,1.01,5970.0
Kepler-1515 b,214.3114164,9.33,,1.2,1.38,6517.0
